COMPANYNAME,COUNTY,ZIP,PROGRAM,ORIGINAL_ESTIMATED_VALUE,INVESTMENT,STATUS,NEW_JOBS,RETAINED_JOBS,ORIGINAL_APPROVAL_DATE,WITHHOLDING_RATE_PERCENT,PAYROLL_RATE,TERM
Davis Building,Hancock,45840,Ohio Historic Preservation Tax Credit,185900.0,N/A,Cancelled,N/A,N/A,06/24/2014,N/A,N/A,N/A
Horizon House,Scioto,45662,Ohio Historic Preservation Tax Credit,1543630.0,N/A,Completed,N/A,N/A,12/10/2009,N/A,N/A,N/A
Hirschvogel Incorporated,Franklin,43207-2402,JCTC Job Creation Tax Credit,68000.0,28800000.00,Servicing,30,322,03/30/2015,N/A,0.872,6
"Hayneedle, Inc.",Warren,45050,JCTC Job Creation Tax Credit,369000.0,5863912.00,Completed,104,80,01/30/2017,N/A,2.062,6
"Unique-Chardan, Inc.",Williams,43506,JCTC Job Creation Tax Credit,66199.0,400000.00,Completed,30,52,04/28/2014,N/A,1.051,7
"Tech II, Inc.",Clark,45504-4518,JCTC Job Creation Tax Credit,30156.0,2750000.00,Cancelled,22,0,12/05/2011,35.00,N/A,5
"Tremcar U.S.A., Inc.",Tuscarawas,44622,JCTC Job Creation Tax Credit,230198.0,2500000.00,Completed,145,55,10/31/2011,45.00,N/A,6
"Pivotek, LLC",Hamilton,45240,JCTC Job Creation Tax Credit,997908.0,1335000.00,Completed,235,0,06/27/2011,40.00,N/A,6
Worthington Masonic Lodge,Franklin,43085,Ohio Historic Preservation Tax Credit,250000.0,N/A,Completed,N/A,N/A,12/16/2015,N/A,N/A,N/A
Superior Production LLC,Franklin,43207-2768,JCTC Job Creation Tax Credit,93000.0,6700000.00,Servicing,35,154,02/23/2015,N/A,0.984,6
Fire Blocks Lofts,Montgomery,,Ohio Historic Preservation Tax Credit,4481132.0,N/A,Completed,N/A,N/A,06/28/2016,N/A,N/A,N/A
L. Hoster Brewing Co.,Franklin,,Ohio Historic Preservation Tax Credit,5000000.0,N/A,Servicing,N/A,N/A,06/26/2019,N/A,N/A,N/A
55 Public Square,Cuyahoga,,Ohio Historic Preservation Tax Credit,5000000.0,N/A,Servicing,N/A,N/A,06/30/2021,N/A,N/A,N/A
"Longfellow, Henry Wadsworth",Cuyahoga,,Ohio Historic Preservation Tax Credit,2000000.0,N/A,Servicing,N/A,N/A,12/19/2019,N/A,N/A,N/A
34 Building,Franklin,,Ohio Historic Preservation Tax Credit,2900000.0,N/A,Completed,N/A,N/A,06/28/2017,N/A,N/A,N/A
"Lexi-Comp, Inc.",Summit,44236,JCTC Job Creation Tax Credit,389587.0,250000.00,Cancelled,30,147,03/25/2013,50.00,N/A,7
MGA Entertainment,Summit,44236-4108,JCTC Job Creation Tax Credit,134228.0,5800000.00,Completed,63,367,06/29/2009,N/A,N/A,6
e-Cycle LLC,Franklin,43026-1117,JCTC Job Creation Tax Credit,1224367.0,1500000.00,Completed,40,17,07/27/2009,N/A,N/A,6
The Laserflex Corporation,Franklin,43026,JCTC Job Creation Tax Credit,46000.0,2625000.00,Completed,30,71,01/26/2015,N/A,0.958,5
"Eagle Railcar Services - Cario, Ohio LLC",Allen,45820,JCTC Job Creation Tax Credit,43279.0,775000.00,Completed,28,13,12/10/2012,45.00,N/A,5
Walgreen Company,Wood,43551-4602,JCTC Job Creation Tax Credit,416739.0,6600000.00,Completed,75,681,04/28/2014,N/A,1.527,10
The Kroger Co.,Franklin,43217,JCTC Job Creation Tax Credit,93702.0,2000000.00,Servicing,23,105,01/28/2013,40.00,N/A,5
"FedEx Supply Chain, Inc.",Franklin,43217,JCTC Job Creation Tax Credit,192000.0,1200000.00,Servicing,82,0,04/25/2016,N/A,1.000,6
"ExpressPoint Technology Services, Inc.",Franklin,43123,JCTC Job Creation Tax Credit,55656.0,50000.00,Completed,30,0,06/27/2011,40.00,N/A,5
"MANE, INC.",Warren,45036,JCTC Job Creation Tax Credit,154519.0,51475000.00,Servicing,448,87,04/26/2010,50.00,N/A,9
"Inogen, Inc.",Cuyahoga,44144-2301,JCTC Job Creation Tax Credit,1515000.0,508300.00,Servicing,300,0,02/27/2017,N/A,1.688,9
"RhinoSystems, Inc.",Cuyahoga,44144-2301,JCTC Job Creation Tax Credit,650000.0,698443.00,Servicing,117,17,07/30/2018,N/A,1.527,8
Ohio Star Forge Co.,Trumbull,44483-1924,JCTC Job Creation Tax Credit,107483.0,17600000.00,Completed,10,95,01/28/2013,35.00,N/A,6
St. Luke's Hospital Final Phase,Cuyahoga,44105,Ohio Historic Preservation Tax Credit,506600.0,N/A,Completed,N/A,N/A,06/26/2013,N/A,N/A,N/A
"Hollar, Inc.",Butler,45011,JCTC Job Creation Tax Credit,135000.0,300000.00,Completed,75,0,09/24/2018,N/A,1.021,6
"Startek USA, Inc.",Butler,45011,JCTC Job Creation Tax Credit,1331000.0,0.00,Completed,682,0,02/23/2015,65.00,N/A,7
"Ardent Technologies, Inc.",Montgomery,45459-1927,JCTC Job Creation Tax Credit,210000.0,220000.00,Approved,20,52,09/28/2020,N/A,1.581,7
"Total Quality Logistics, LLC",Montgomery,45459,JCTC Job Creation Tax Credit,63987.0,310320.00,Completed,20,30,04/30/2012,35.00,N/A,5
Intel Corporation,Licking,43031,JCTC Job Creation Tax Credit,475000000.0,20000000000.00,Servicing,3000,0,09/26/2022,N/A,3.990,30
Berwick Hotel Apartments,Guernsey,43725,Ohio Historic Preservation Tax Credit,1013512.0,N/A,Completed,N/A,N/A,12/10/2009,N/A,N/A,N/A
Paramount Square,Hamilton,45206,Ohio Historic Preservation Tax Credit,1999000.0,N/A,Completed,N/A,N/A,12/16/2015,N/A,N/A,N/A
"Ameridial, Inc.",Stark,44718-2566,JCTC Job Creation Tax Credit,109765.0,343000.00,Completed,170,282,02/22/2010,35.00,N/A,4
"Charter Manufacturing Company, Inc.",Wood,43457-9506,JCTC Job Creation Tax Credit,86302.0,30700000.00,Completed,20,75,10/31/2011,35.00,N/A,5
Huffman Block,Montgomery,45423,Ohio Historic Preservation Tax Credit,0.0,N/A,Cancelled,N/A,N/A,06/24/2014,N/A,N/A,N/A
The Worthington Steel Company,Fulton,43515-9453,JCTC Job Creation Tax Credit,96000.0,11600000.00,Servicing,26,175,03/28/2016,N/A,1.086,6
International Business Machines Corporation,Cuyahoga,44106,JCTC Job Creation Tax Credit,1819678.0,4655000.00,Completed,120,35,12/05/2011,55.00,N/A,7
"80 Acres Urban Agriculture, Inc",Butler,45011,JCTC Job Creation Tax Credit,945000.0,26975000.00,Approved,125,29,07/29/2019,N/A,1.647,8
Atrium Assembly Corporation,Licking,43031-9011,JCTC Job Creation Tax Credit,25357.0,2500000.00,Completed,25,117,04/27/2009,N/A,N/A,6
Ford Motor Company Cleveland Plant (Cleveland Institute of Art),Cuyahoga,44106,Ohio Historic Preservation Tax Credit,6912540.0,N/A,Completed,N/A,N/A,03/13/2008,N/A,N/A,N/A
Kroger Bakery Complex,Franklin,,Ohio Historic Preservation Tax Credit,5000000.0,N/A,Servicing,N/A,N/A,12/14/2021,N/A,N/A,N/A
Post Glover Resistors Inc.,,,JCTC Job Creation Tax Credit,142791.0,4850000.00,Cancelled,30,105,04/25/2011,50.00,N/A,6
Reidy Bros. & Flanigan Building,Cuyahoga,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Cancelled,N/A,N/A,06/20/2018,N/A,N/A,N/A
Daehler Building,Scioto,,Ohio Historic Preservation Tax Credit,545000.0,N/A,Cancelled,N/A,N/A,06/26/2019,N/A,N/A,N/A
Mueller Electric Company,Cuyahoga,,Ohio Historic Preservation Tax Credit,1745000.0,N/A,Completed,N/A,N/A,06/28/2016,N/A,N/A,N/A
NASA Lewis Research Center-Development Engineering Building & Annex,Cuyahoga,,Ohio Historic Preservation Tax Credit,4500000.0,N/A,Servicing,N/A,N/A,06/28/2017,N/A,N/A,N/A
AxoGen Corporation,Montgomery,45377-3115,JCTC Job Creation Tax Credit,1100000.0,7924200.00,Servicing,200,28,10/29/2018,N/A,1.583,10
"Chewy, Inc.",Montgomery,45377,JCTC Job Creation Tax Credit,1750000.0,15000000.00,Servicing,600,0,10/29/2018,N/A,1.362,8
"MAC ITS, LLC",Montgomery,45377-9317,JCTC Job Creation Tax Credit,200000.0,50000.00,Cancelled,79,73,05/20/2019,N/A,1.153,6
"Pepsi-Cola Metropolitan Bottling Company, Inc.",Lucas,43607-2936,JCTC Job Creation Tax Credit,64177.0,11000000.00,Completed,25,74,10/27/2008,N/A,N/A,6
"GT Technologies, Inc.",Lucas,43607-3602,JCTC Job Creation Tax Credit,121295.0,22182000.00,Cancelled,24,77,02/23/2015,40.00,N/A,6
American Trailer Works Inc.,Brown,45154-8964,JCTC Job Creation Tax Credit,200749.0,5247137.00,Cancelled,110,91,08/29/2011,45.00,N/A,6
1505 East 4th Street,Montgomery,45403,Ohio Historic Preservation Tax Credit,46155.0,N/A,Completed,N/A,N/A,06/24/2014,N/A,N/A,N/A
"Composite Technologies Co., LLC",Montgomery,45403-1449,JCTC Job Creation Tax Credit,51769.0,1590000.00,Cancelled,50,73,12/07/2009,35.00,N/A,6
Steele Mansion,Lake,44077,Ohio Historic Preservation Tax Credit,371500.0,N/A,Completed,N/A,N/A,12/22/2011,N/A,N/A,N/A
Norlake Manufacturing Company,Lorain,44035-6255,JCTC Job Creation Tax Credit,140583.0,3244915.00,Completed,30,85,09/24/2012,40.00,N/A,6
"Mesnac Americas Co., Ltd.",Summit,44313,JCTC Job Creation Tax Credit,268215.0,2500000.00,Cancelled,35,0,12/02/2013,40.00,N/A,5
"Arminak & Associates, LLC",Licking,43054,JCTC Job Creation Tax Credit,195391.0,2740000.00,Servicing,25,0,06/25/2012,40.00,N/A,7
Sidecat LLC,Licking,43054,Datacenter Tax Exemption,54375000.0,750000000.00,Servicing,50,0,07/31/2017,N/A,N/A,15
"Diamondbeck II, Inc.",Mercer,45883-9505,JCTC Job Creation Tax Credit,48808.0,900000.00,Completed,33,0,12/08/2008,N/A,N/A,5
"Toledo Molding & Die, Inc.",Seneca,44883,JCTC Job Creation Tax Credit,154291.0,8400000.00,Servicing,64,390,07/30/2012,50.00,N/A,7
Booz Allen Hamilton Inc.,Montgomery,45431,JCTC Job Creation Tax Credit,600000.0,0.00,Servicing,60,290,03/25/2019,N/A,1.912,7
Assurex Health Inc,Warren,45040-3706,JCTC Job Creation Tax Credit,187529.0,1350000.00,Servicing,218,7,04/27/2009,N/A,N/A,10
NSC Global Managed Services LLC,Warren,45040,JCTC Job Creation Tax Credit,310000.0,0.00,Cancelled,50,372,02/27/2017,N/A,2.130,6
Rhinestahl Corporation,Warren,45040-2649,JCTC Job Creation Tax Credit,681947.0,3250000.00,Completed,69,140,12/10/2012,55.00,N/A,5
"Spear USA, LLC",Warren,45040-2366,JCTC Job Creation Tax Credit,55461.0,7000000.00,Completed,25,118,06/29/2009,N/A,N/A,5
"Armor Consolidated, Inc.",Warren,45040,JCTC Job Creation Tax Credit,325955.0,1315000.00,Completed,110,192,12/08/2008,N/A,N/A,6
Edgerton Forge Inc,Williams,43517-9302,JCTC Job Creation Tax Credit,199656.0,1975000.00,Servicing,25,52,09/30/2013,35.00,N/A,7
Nippon Rika Incorporated,Morrow,43334,JCTC Job Creation Tax Credit,31000.0,1900000.00,Completed,20,3,12/15/2015,N/A,0.935,5
"Toledo Molding & Die, Inc.",Van Wert,45833-9203,JCTC Job Creation Tax Credit,111254.0,2600000.00,Servicing,45,188,07/30/2012,50.00,N/A,7
"Unverferth Manufacturing Company, Inc.",Van Wert,45833,JCTC Job Creation Tax Credit,59504.0,6202000.00,Completed,16,92,10/25/2010,35.00,N/A,4
Pratt Lewisburg Corrugating LLC,Preble,45338,JCTC Job Creation Tax Credit,1597015.0,44000000.00,Servicing,140,0,07/29/2013,65.00,N/A,10
Williams Lea Inc.,Franklin,43206-1066,JCTC Job Creation Tax Credit,3500000.0,1000000.00,Servicing,550,3,07/29/2019,N/A,1.513,10
Chromaflo Technologies Corporation,Ashtabula,44004-3140,JCTC Job Creation Tax Credit,204842.0,5700000.00,Completed,50,132,04/30/2012,50.00,N/A,6
LuK USA LLC,Wayne,44691,JCTC Job Creation Tax Credit,255288.0,48500000.00,Servicing,554,1130,02/25/2013,45.00,N/A,8
"Scott Process Systems, Inc.",Stark,44632,JCTC Job Creation Tax Credit,100780.0,3500000.00,Completed,50,150,03/31/2008,N/A,N/A,5
Monument Properties,Seneca,,Ohio Historic Preservation Tax Credit,249784.0,N/A,Servicing,N/A,N/A,06/20/2018,N/A,N/A,N/A
Agora Complex,Cuyahoga,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Servicing,N/A,N/A,06/30/2021,N/A,N/A,N/A
"Kao USA Inc., f/k/a Kao Brands Company",Hamilton,45214-1729,JCTC Job Creation Tax Credit,321702.0,7900000.00,Servicing,50,449,01/26/2009,N/A,N/A,10
"Martin Marietta Magnesia Specialties, LLC",Sandusky,43469-9727,JCTC Job Creation Tax Credit,0.0,53000000.00,Completed,15,160,12/06/2010,35.00,N/A,5
"Senator International, Inc. dba Allermuir",Lucas,43537,JCTC Job Creation Tax Credit,378000.0,9910000.00,Servicing,56,54,03/31/2014,N/A,1.629,8
"Applied Energy Technologies, Inc.",Lucas,43537,JCTC Job Creation Tax Credit,71969.0,125000.00,Cancelled,46,4,02/28/2011,40.00,N/A,7
BWXT Nuclear Operations Group Inc,Summit,44203-2628,JCTC Job Creation Tax Credit,900000.0,82009000.00,Servicing,82,699,10/29/2018,N/A,1.823,9
"Case Farms Processing, Inc",Holmes,44690,JCTC Job Creation Tax Credit,400000.0,101630000.00,Approved,144,346,12/09/2019,N/A,1.231,7
Continental Structural Plastics Inc,Wood,45872-9551,JCTC Job Creation Tax Credit,103907.0,2900000.00,Servicing,56,103,01/27/2014,N/A,1.118,6
"NDC Technologies, Inc.",Montgomery,45424,JCTC Job Creation Tax Credit,360000.0,650000.00,Servicing,42,73,03/27/2017,N/A,1.667,7
"MCPc, Inc.",Cuyahoga,44109-4203,JCTC Job Creation Tax Credit,650000.0,1750000.00,Servicing,150,191,10/30/2017,N/A,0.600,8
"Exxcel Project Management, Inc.",Franklin,43212,JCTC Job Creation Tax Credit,258078.0,5500000.00,Cancelled,13,22,07/28/2008,N/A,N/A,7
"REVLOCAL, LLC",Licking,43050,JCTC Job Creation Tax Credit,512212.0,500000.00,Servicing,82,61,12/10/2012,35.00,N/A,7
Johnson Court,Cuyahoga,44113,Ohio Historic Preservation Tax Credit,5000000.0,N/A,Completed,N/A,N/A,12/20/2013,N/A,N/A,N/A
Wagner Awning,Cuyahoga,44113,Ohio Historic Preservation Tax Credit,1739311.0,N/A,Completed,N/A,N/A,12/18/2014,N/A,N/A,N/A
West 25th Street Lofts,Cuyahoga,44113,Ohio Historic Preservation Tax Credit,4000000.0,N/A,Completed,N/A,N/A,12/20/2012,N/A,N/A,N/A
Fairmont Creamery Ice Cream Building,Cuyahoga,44113,Ohio Historic Preservation Tax Credit,3120777.0,N/A,Completed,N/A,N/A,06/26/2013,N/A,N/A,N/A
"Metrolinked, LLC",Franklin,43212-1100,JCTC Job Creation Tax Credit,76273.0,93500.00,Cancelled,56,15,05/24/2010,45.00,N/A,5
"Daugherty Systems, Inc.",,,JCTC Job Creation Tax Credit,1725000.0,50000.00,Approved,100,0,12/07/2020,N/A,2.100,9
Goodyear Headquarters (catalytic),Summit,,Ohio Historic Preservation Tax Credit,25000000.0,N/A,Servicing,N/A,N/A,04/07/2017,N/A,N/A,N/A
126 E. 6th Street,Hamilton,,Ohio Historic Preservation Tax Credit,1992000.0,N/A,Completed,N/A,N/A,06/28/2017,N/A,N/A,N/A
Rapid Prototype and Manufacturing LLC,,,JCTC Job Creation Tax Credit,927711.0,10000000.00,Cancelled,130,4,09/30/2013,50.00,N/A,7
Orion Allied Services LLC,Summit,,JCTC Job Creation Tax Credit,178120.0,3100000.00,Cancelled,20,0,07/25/2011,45.00,N/A,6
The Barrister 216,Hamilton,,Ohio Historic Preservation Tax Credit,174180.0,N/A,Servicing,N/A,N/A,12/14/2021,N/A,N/A,N/A
The Ohio Bell Building (aka AT&T Building),Cuyahoga,,Ohio Historic Preservation Tax Credit,4214509.0,N/A,Cancelled,N/A,N/A,12/12/2018,N/A,N/A,N/A
St. Mark's Presbyterian Church,Cuyahoga,,Ohio Historic Preservation Tax Credit,193000.0,N/A,Cancelled,N/A,N/A,12/19/2019,N/A,N/A,N/A
"MedAssets Net Revenue Systems, LLC",,,JCTC Job Creation Tax Credit,1918000.0,1100000.00,Cancelled,444,0,01/25/2016,N/A,1.559,9
Quickstep Composites LLC,Montgomery,45417-1907,JCTC Job Creation Tax Credit,94098.0,800000.00,Completed,20,0,09/28/2009,N/A,N/A,6
"FIS Management Services, LLC",Hamilton,45249-1384,JCTC Job Creation Tax Credit,8286486.0,19081329.00,Servicing,954,830,07/26/2010,65.00,N/A,13
"London Computer Systems, Inc.",Warren,45249,JCTC Job Creation Tax Credit,1000000.0,2000000.00,Servicing,150,177,12/04/2017,N/A,1.537,8
ADB Safegate Americas LLC,Franklin,43230,JCTC Job Creation Tax Credit,215000.0,1500000.00,Approved,24,202,12/06/2021,N/A,1.480,7
"PeopleToMySite.com, LLC",Franklin,43230-6274,JCTC Job Creation Tax Credit,168766.0,275000.00,Cancelled,30,45,03/30/2009,N/A,N/A,6
Jefferson Industries Corporation,Madison,43162,JCTC Job Creation Tax Credit,77452.0,28600000.00,Completed,23,0,04/29/2013,55.00,N/A,5
Jefferson Industries Corporation,Madison,43162-9677,JCTC Job Creation Tax Credit,55000.0,26500000.00,Servicing,397,509,01/30/2017,N/A,1.598,7
"AdvancePierre Foods, Inc.",Butler,45246-1116,JCTC Job Creation Tax Credit,279020.0,21500000.00,Completed,40,849,03/29/2010,50.00,N/A,6
"Bridge Logistics, Inc.",Butler,45246,JCTC Job Creation Tax Credit,126000.0,0.00,Completed,30,22,12/15/2015,N/A,1.325,5
Gothic Building,Summit,44308,Ohio Historic Preservation Tax Credit,562709.0,N/A,Completed,N/A,N/A,03/13/2008,N/A,N/A,N/A
Metropolitan Building,Summit,44308,Ohio Historic Preservation Tax Credit,250028.0,N/A,Completed,N/A,N/A,10/16/2008,N/A,N/A,N/A
Welltower Inc.,Lucas,43615-4040,JCTC Job Creation Tax Credit,728981.0,25400000.00,Servicing,45,72,12/08/2008,N/A,N/A,7
InterGroup International Ltd.,Cuyahoga,44117,JCTC Job Creation Tax Credit,65000.0,2020000.00,Completed,42,11,04/26/2010,45.00,N/A,5
Comresource Inc,Franklin,43215-1874,JCTC Job Creation Tax Credit,377000.0,750000.00,Servicing,25,175,10/26/2015,N/A,1.000,6
"Basecraft, Inc.",Franklin,43215,JCTC Job Creation Tax Credit,51173.0,100000.00,Cancelled,30,5,07/28/2014,N/A,1.066,5
"inContact, Inc.",Franklin,43215,JCTC Job Creation Tax Credit,328685.0,300000.00,Servicing,110,21,06/29/2009,N/A,N/A,9
"PeopleToMySite.com, LLC",Franklin,43215,JCTC Job Creation Tax Credit,225036.0,0.00,Servicing,50,50,03/03/2014,N/A,1.364,6
CoverMyMeds LLC,Franklin,43215,JCTC Job Creation Tax Credit,546055.0,750000.00,Completed,28,9,09/27/2010,40.00,N/A,6
NBBJ LLC,Franklin,43215-7104,JCTC Job Creation Tax Credit,53560.0,1640000.00,Completed,16,100,03/31/2014,N/A,0.841,5
"Health Carousel, LLC",Hamilton,45209-1948,JCTC Job Creation Tax Credit,697000.0,435000.00,Servicing,85,64,02/29/2016,N/A,1.657,8
Brunswick Club,Licking,43055,Ohio Historic Preservation Tax Credit,58500.0,N/A,Completed,N/A,N/A,12/16/2015,N/A,N/A,N/A
36-38 South Third,Licking,43055,Ohio Historic Preservation Tax Credit,121425.0,N/A,Completed,N/A,N/A,12/20/2013,N/A,N/A,N/A
"Dickman Supply, Inc.",Shelby,45365,JCTC Job Creation Tax Credit,9730.0,450000.00,Completed,15,111,08/29/2011,35.00,N/A,5
Ridge Corporation,Muskingum,43822,JCTC Job Creation Tax Credit,35714.0,5000000.00,Servicing,40,0,12/02/2013,35.00,N/A,6
Code Blue LLC,Clark,45502-1358,JCTC Job Creation Tax Credit,1668666.0,2250000.00,Completed,155,0,12/07/2009,50.00,N/A,6
"Links Unlimited, Inc.",Hamilton,45212-2118,JCTC Job Creation Tax Credit,67852.0,3500000.00,Completed,12,29,04/26/2010,45.00,N/A,5
"Paycor, Inc.",Hamilton,45212,JCTC Job Creation Tax Credit,1652907.0,17100000.00,Servicing,150,423,06/25/2012,65.00,N/A,8
"L&W Cleveland, Inc.",Lorain,44011-1313,JCTC Job Creation Tax Credit,108398.0,16500000.00,Completed,60,60,08/27/2012,45.00,N/A,5
Mentor Village Hall,Lake,44060,Ohio Historic Preservation Tax Credit,220075.0,N/A,Completed,N/A,N/A,12/18/2014,N/A,N/A,N/A
"Cleveland Construction, Inc.",Lake,44060-4348,JCTC Job Creation Tax Credit,246704.0,1500000.00,Cancelled,15,59,08/27/2012,40.00,N/A,10
"Performance Motorsports International, Inc.",Lake,44060-5315,JCTC Job Creation Tax Credit,749829.0,1130600.00,Servicing,100,200,07/30/2012,55.00,N/A,7
Parker Hannifin Corporation,Lake,44060,JCTC Job Creation Tax Credit,520000.0,10000000.00,Approved,60,120,08/29/2022,N/A,1.549,8
SB Capital Acquistions LLC,Franklin,43219-1811,JCTC Job Creation Tax Credit,206997.0,500000.00,Completed,36,0,10/31/2011,45.00,N/A,6
Turning Point,Mahoning,44503,JCTC Job Creation Tax Credit,152380.0,2000000.00,Completed,50,111,05/19/2008,N/A,N/A,6
Realty Building,Mahoning,44503,Ohio Historic Preservation Tax Credit,2008589.0,N/A,Completed,N/A,N/A,12/28/2007,N/A,N/A,N/A
264 Broadway Avenue,Mahoning,44503,Ohio Historic Preservation Tax Credit,88345.0,N/A,Completed,N/A,N/A,12/20/2013,N/A,N/A,N/A
Franklinton Post Office,Franklin,43215,Ohio Historic Preservation Tax Credit,125000.0,N/A,Cancelled,N/A,N/A,06/26/2012,N/A,N/A,N/A
Motorists Mutual Insurance Company,Franklin,43215-3842,JCTC Job Creation Tax Credit,206708.0,200000.00,Completed,40,590,06/30/2008,N/A,N/A,6
"Hynes Industries, Inc.",Mahoning,44515,JCTC Job Creation Tax Credit,108883.0,5000000.00,Servicing,42,140,05/20/2014,N/A,1.007,7
"Custom Culinary, Inc.",Lorain,44011-1374,JCTC Job Creation Tax Credit,46302.0,5950000.00,Completed,17,27,12/05/2011,35.00,N/A,3
"Valeo North America, Inc.",Logan,43319,JCTC Job Creation Tax Credit,351000.0,14000000.00,Servicing,85,0,06/29/2015,N/A,1.286,7
"Constant Aviation, LLC",Cuyahoga,,JCTC Job Creation Tax Credit,1510323.0,20000000.00,Cancelled,300,200,07/29/2013,60.00,N/A,7
"Stanley Electric U.S. Co., Inc.",,,JRTC-NR Job Retention Tax Credit Non-Refundable,5000000.0,56700000.00,Servicing,0,605,08/27/2012,60.00,N/A,10
The Andrus Building (443 10th St),Lucas,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Cancelled,N/A,N/A,12/12/2018,N/A,N/A,N/A
The Astrup Company Building,Cuyahoga,,Ohio Historic Preservation Tax Credit,1615000.0,N/A,Completed,N/A,N/A,12/12/2018,N/A,N/A,N/A
City Savings Bank and Trust Building,Stark,,Ohio Historic Preservation Tax Credit,812579.0,N/A,Completed,N/A,N/A,06/28/2016,N/A,N/A,N/A
American Savings Bank,Cuyahoga,,Ohio Historic Preservation Tax Credit,168000.0,N/A,Servicing,N/A,N/A,08/05/2020,N/A,N/A,N/A
Open Air School,Franklin,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Completed,N/A,N/A,12/19/2019,N/A,N/A,N/A
Market Square III,Hamilton,,Ohio Historic Preservation Tax Credit,1690000.0,N/A,Completed,N/A,N/A,12/20/2016,N/A,N/A,N/A
Hedrick House,Richland,,Ohio Historic Preservation Tax Credit,78675.0,N/A,Completed,N/A,N/A,12/19/2017,N/A,N/A,N/A
"5Me, LLC",Clermont,45245-0001,JCTC Job Creation Tax Credit,484966.0,521000.00,Completed,62,0,04/29/2013,50.00,N/A,6
"Tooling Technology, LLC",Shelby,45845,JCTC Job Creation Tax Credit,50000.0,3850000.00,Servicing,25,76,06/01/2015,N/A,0.952,5
Poinciana Apartments,Hamilton,45229,Ohio Historic Preservation Tax Credit,1999999.0,N/A,Completed,N/A,N/A,12/18/2014,N/A,N/A,N/A
"AAG Glass, LLC",Clermont,45103,JCTC Job Creation Tax Credit,300000.0,14000000.00,Servicing,89,0,09/24/2018,N/A,1.297,7
"AllTech Medical Systems America, Inc.",Cuyahoga,44139,JCTC Job Creation Tax Credit,486973.0,1632000.00,Completed,77,33,07/30/2012,50.00,N/A,6
"Swagelok Manufacturing Company, LLC",Cuyahoga,44139-3474,JCTC Job Creation Tax Credit,13000000.0,152000000.00,Servicing,1000,5237,09/24/2018,N/A,2.061,13
"Alex Products, Inc.",Paulding,43555,JCTC Job Creation Tax Credit,136000.0,2150000.00,Servicing,100,735,07/25/2016,N/A,0.853,3
3936 Spring Grove Avenue,Hamilton,45223,Ohio Historic Preservation Tax Credit,71608.0,N/A,Completed,N/A,N/A,12/16/2015,N/A,N/A,N/A
"CPP-Cleveland, Inc.",Cuyahoga,44132-2223,JCTC Job Creation Tax Credit,1170000.0,55000000.00,Servicing,128,345,07/29/2019,N/A,1.675,8
"Forward Air, Inc.",Franklin,43125,JCTC Job Creation Tax Credit,171000.0,31800000.00,Servicing,50,403,08/31/2020,N/A,1.221,7
Near West Lofts Storefront,Cuyahoga,44102,Ohio Historic Preservation Tax Credit,180499.0,N/A,Cancelled,N/A,N/A,06/24/2014,N/A,N/A,N/A
"GXS, Inc.",Cuyahoga,44142-1609,JCTC Job Creation Tax Credit,539368.0,3000000.00,Completed,75,52,07/28/2008,N/A,N/A,6
"CMBF Products, Inc.",Medina,44256-2453,JCTC Job Creation Tax Credit,300000.0,18000000.00,Servicing,70,240,02/27/2017,N/A,1.508,7
Friction Products Co.,Medina,44256-2453,JCTC Job Creation Tax Credit,203740.0,12654530.00,Completed,95,250,06/30/2008,N/A,N/A,7
"NCRx Optical Solutions, Inc.",Summit,44256-5966,JCTC Job Creation Tax Credit,334199.0,2400000.00,Cancelled,65,4,01/25/2010,60.00,N/A,5
"Immediate Pharmaceutical Services, Inc.",Lorain,44012,JCTC Job Creation Tax Credit,976608.0,4200000.00,Completed,200,90,07/27/2009,N/A,N/A,8
St. Bernard Soap Company,Hamilton,45217-1050,JCTC Job Creation Tax Credit,600000.0,5665000.00,Servicing,112,240,01/29/2018,N/A,1.551,8
Sky Climber Fabricating LLC,Delaware,43015,JCTC Job Creation Tax Credit,275000.0,3265000.00,Completed,35,0,01/26/2015,N/A,1.529,7
"The Liberty Technology Company, LLC",Delaware,43015,JCTC Job Creation Tax Credit,122576.0,4600000.00,Completed,52,150,03/03/2014,N/A,1.183,5
Stuyvesant Hall,Delaware,43015,Ohio Historic Preservation Tax Credit,3749323.0,N/A,Completed,N/A,N/A,07/25/2011,N/A,N/A,N/A
Satco Inc,Clermont,45140,JCTC Job Creation Tax Credit,371000.0,7450000.00,Servicing,75,0,08/26/2019,N/A,1.398,8
"Joseph Manufacturing Company, Inc.",Mahoning,44506,JCTC Job Creation Tax Credit,850000.0,23800000.00,Cancelled,287,0,08/30/2017,N/A,1.444,8
"Exceptional Innovation, Inc.",Delaware,43082-8954,JCTC Job Creation Tax Credit,1682000.0,300000.00,Completed,102,50,12/15/2015,N/A,2.158,9
"HENDRICKSON USA, L.L.C.",Stark,44646,JCTC Job Creation Tax Credit,950000.0,50600000.00,Servicing,300,235,03/25/2019,N/A,1.273,9
